class,x1,y1,z1,v1,x2,y2,z2,v2,x3,y3,z3,v3,x4,y4,z4,v4,x5,y5,z5,v5,x6,y6,z6,v6,x7,y7,z7,v7,x8,y8,z8,v8,x9,y9,z9,v9,x10,y10,z10,v10,x11,y11,z11,v11,x12,y12,z12,v12,x13,y13,z13,v13,x14,y14,z14,v14,x15,y15,z15,v15,x16,y16,z16,v16,x17,y17,z17,v17,x18,y18,z18,v18,x19,y19,z19,v19,x20,y20,z20,v20,x21,y21,z21,v21,x22,y22,z22,v22,x23,y23,z23,v23,x24,y24,z24,v24,x25,y25,z25,v25,x26,y26,z26,v26,x27,y27,z27,v27,x28,y28,z28,v28,x29,y29,z29,v29,x30,y30,z30,v30,x31,y31,z31,v31,x32,y32,z32,v32,x33,y33,z33,v33
Tadasana,0.48292464,0.206881568,-0.048566408,0.999615848,0.489374816,0.202835336,-0.007566214,0.999539912,0.493278444,0.203678295,-0.00752478,0.999277174,0.496757686,0.204577819,-0.007568019,0.999459386,0.476318657,0.203441873,-0.014271532,0.999435544,0.471526682,0.204708353,-0.014313983,0.999221981,0.467326313,0.205992892,-0.014336285,0.999522269,0.501164556,0.219455793,0.150791869,0.999491215,0.462505996,0.221444458,0.123761356,0.999606967,0.491210163,0.220416531,0.005643793,0.999321997,0.474625915,0.221701086,-0.002527045,0.999364257,0.531034231,0.296055049,0.153721437,0.998733044,0.433318615,0.29544872,0.079656288,0.998688221,0.54334271,0.191246107,0.053031314,0.976424158,0.421343803,0.190100864,-0.120341346,0.992647648,0.499679029,0.095201686,0.035443373,0.936837852,0.471561044,0.093800336,-0.1750976,0.971658587,0.49378863,0.069554284,-0.005451513,0.837348342,0.482804865,0.06814681,-0.234993294,0.906646609,0.490905702,0.070234299,0.000792543,0.823280931,0.482416809,0.06892626,-0.214014009,0.896447599,0.491278827,0.081075162,0.029114407,0.821635246,0.479703754,0.07972797,-0.178245887,0.892843604,0.509881735,0.538143158,0.01083759,0.999741316,0.445818186,0.538593113,-0.010779732,0.999631584,0.504227996,0.729974389,-0.018505121,0.99325639,0.447724521,0.730092704,-0.025931988,0.988989592,0.497378409,0.90755409,0.20121029,0.989921093,0.464234591,0.913723052,0.185946897,0.988357544,0.494468927,0.924392581,0.212321073,0.888757646,0.468823105,0.932544529,0.195757836,0.851824582,0.503666461,0.964969814,0.022387857,0.980404675,0.460304886,0.970494926,0.012828641,0.979517817
FoldPose,0.322042018,0.426989466,-0.196723431,0.992235363,0.306684196,0.410791546,-0.22275953,0.991225302,0.307652891,0.40713957,-0.222717091,0.992501318,0.30857718,0.403003752,-0.222709298,0.992998779,0.304635704,0.412774444,-0.179862544,0.988789856,0.304181397,0.410941899,-0.17998828,0.990994692,0.303750098,0.408839107,-0.180010229,0.990888178,0.321563303,0.370477974,-0.277060777,0.986881018,0.315632522,0.3763493,-0.076900706,0.985846817,0.343341708,0.419573843,-0.207767561,0.988859296,0.341217399,0.421794862,-0.151592791,0.977469504,0.412435114,0.352366716,-0.373211265,0.996035099,0.410675824,0.36617592,0.078229196,0.991400063,0.444677025,0.538313031,-0.445126444,0.949155271,0.446798652,0.545749903,0.108064309,0.148058087,0.455357164,0.723044276,-0.396056831,0.93460381,0.453915656,0.741095185,0.026674872,0.134352028,0.457511842,0.778308928,-0.449503571,0.915508389,0.455098212,0.787323713,0.030626614,0.127243608,0.453484297,0.788344622,-0.413418233,0.910247922,0.453393936,0.79781878,-0.01927628,0.129294351,0.455130398,0.775053263,-0.382570565,0.876591504,0.456774861,0.786812246,0.001962985,0.139145836,0.623159111,0.283243388,-0.14391616,0.984265089,0.602678895,0.29159084,0.144395143,0.98011148,0.584220648,0.552880108,-0.112035573,0.889572203,0.568781614,0.556907952,0.13274914,0.148940459,0.552294075,0.857970953,-0.049950249,0.96852994,0.553387523,0.840389252,0.19737789,0.281964183,0.566550374,0.894086778,-0.047429401,0.952640235,0.567471683,0.881889641,0.201380968,0.294810385,0.460123926,0.89322871,-0.16975382,0.960215092,0.464988291,0.885896087,0.112010442,0.303211838
Tadasana,0.480157912,0.22636655,-0.249925852,0.999518335,0.487886488,0.214337647,-0.216626048,0.999370039,0.4922885,0.214401916,-0.216578156,0.999071956,0.495950788,0.21446006,-0.216601998,0.999258757,0.473189741,0.215644613,-0.21789512,0.999265313,0.468347698,0.216523901,-0.217935771,0.999006212,0.464138597,0.217342958,-0.217944145,0.999329448,0.501444757,0.222553536,-0.059144996,0.999273777,0.459986627,0.225961268,-0.061285906,0.999364913,0.489113897,0.242889717,-0.192540169,0.999035656,0.471649021,0.243425623,-0.193709105,0.998999715,0.531977236,0.29118076,-0.035223015,0.998018682,0.43374005,0.291882813,-0.051079996,0.998090148,0.543139577,0.185818613,-0.170524806,0.981076002,0.420652926,0.185525939,-0.229250878,0.992562354,0.496086121,0.089216307,-0.242081687,0.95185256,0.469621718,0.086477675,-0.329967439,0.979102314,0.489077181,0.063586913,-0.291032255,0.871233165,0.480575562,0.061729755,-0.391645014,0.931620061,0.486719847,0.062924691,-0.283611357,0.858789265,0.480500787,0.061632581,-0.374717116,0.922916472,0.487315595,0.07291732,-0.247328237,0.851001441,0.478171438,0.071046904,-0.333761871,0.916657865,0.511222899,0.53179872,-0.008670398,0.999565184,0.445937812,0.53420043,0.00858376,0.999444127,0.501991868,0.724447548,0.001682465,0.990170836,0.447990358,0.723812163,0.036669433,0.985448658,0.497620285,0.9084813,0.209949583,0.986991107,0.466214836,0.912664413,0.240443438,0.98347795,0.494791418,0.926526845,0.21983847,0.849318981,0.470197856,0.933721125,0.249517009,0.836233318,0.501354098,0.966286659,0.023708683,0.976672888,0.459229171,0.969407797,0.067465514,0.973272443
Vajrasana,0.532163262,0.333423346,-0.090128221,0.999900937,0.545102537,0.310688108,-0.120857678,0.999876976,0.548959315,0.309843242,-0.120816074,0.999913335,0.552940547,0.309073806,-0.120716192,0.999877512,0.541753173,0.311044216,-0.070085824,0.999753058,0.543214262,0.310346544,-0.070072271,0.999828696,0.544893563,0.30953151,-0.070165075,0.999869704,0.580612957,0.320874125,-0.204319045,0.999848723,0.571585536,0.319348544,0.016777024,0.999874055,0.545978367,0.360034496,-0.120481335,0.999789178,0.542050004,0.360534251,-0.055799864,0.999547541,0.626400948,0.467722952,-0.360520661,0.999895632,0.596809745,0.472559422,0.167350441,0.9991225,0.519984663,0.668022156,-0.375744343,0.994676113,0.536607802,0.663716376,0.15102765,0.096682452,0.405610651,0.818039298,-0.248404667,0.974797964,0.433918566,0.792265713,0.007981483,0.084304057,0.386407167,0.86075139,-0.302067935,0.9653427,0.406917989,0.832070053,0.002393379,0.089422062,0.381236374,0.862184942,-0.280889571,0.962163448,0.404681385,0.835911393,-0.055671223,0.088120028,0.386841536,0.851888955,-0.238378286,0.940291643,0.414997429,0.82652992,-0.022483366,0.092895888,0.64117074,0.836189628,-0.149106532,0.999943137,0.600604653,0.805328071,0.149127617,0.99985677,0.406591833,0.903549731,-0.194864616,0.99701488,0.406081438,0.852927029,0.297121465,0.280789703,0.629562497,0.924330175,0.055669017,0.9659881,0.613051057,0.892175972,0.375723094,0.086697146,0.642262459,0.893024981,0.079708964,0.874646366,0.632777274,0.867713571,0.371283442,0.096558884,0.708965778,0.928554893,0.190318555,0.968225121,0.6925565,0.914215505,0.442106813,0.171213895
Bhujangasan,0.202056453,0.400263965,-0.211117893,0.999921858,0.211510822,0.373710275,-0.209540218,0.999908984,0.216027692,0.371741205,-0.209632516,0.999887288,0.220840529,0.369573295,-0.209745079,0.999894381,0.203436404,0.37687555,-0.168314934,0.999910533,0.20254302,0.377100825,-0.168390259,0.999892771,0.201480433,0.377106637,-0.168368191,0.999922693,0.246383637,0.373991072,-0.182526529,0.999798656,0.225086644,0.37877214,0.007108112,0.999874771,0.217203379,0.427613795,-0.199325949,0.999829531,0.209205359,0.427846938,-0.145358384,0.999891043,0.281115264,0.496242672,-0.312585711,0.999874294,0.304193556,0.492446363,0.202670306,0.999890745,0.280839443,0.721053123,-0.396965027,0.989744663,0.314240277,0.706121624,0.212021559,0.093330972,0.232222289,0.941082358,-0.386015147,0.974439263,0.269483,0.889368117,0.106238864,0.28656739,0.187030584,0.949161589,-0.44119364,0.952709198,0.242961138,0.89023906,0.090429887,0.312372774,0.180805191,0.937598646,-0.405576706,0.951942265,0.237522364,0.894750535,0.046887252,0.30203867,0.198800296,0.93595767,-0.372303993,0.927055299,0.248510003,0.899893403,0.081548497,0.272416443,0.44025898,0.835055768,-0.175224185,0.999612153,0.450299829,0.803215802,0.174396589,0.999333501,0.679606795,0.896839857,-0.160730928,0.931263983,0.681754172,0.865786493,0.214019224,0.257719427,0.894774556,0.851830304,-0.049146306,0.982554317,0.874775767,0.828210175,0.39206773,0.475257933,0.931868851,0.815244257,-0.036831666,0.981940866,0.907114804,0.8118698,0.407777876,0.663506448,0.944637001,0.914458871,-0.131698877,0.979467094,0.919487774,0.892015338,0.342588663,0.670091629
Bhujangasan,0.213505954,0.380626887,-0.237135097,0.999853671,0.228770584,0.361587852,-0.223703071,0.999843299,0.232946545,0.361335874,-0.223812863,0.999811053,0.23742947,0.361237437,-0.223949954,0.999822855,0.221969754,0.361699194,-0.187215954,0.999836743,0.221539065,0.361499369,-0.187234625,0.999812126,0.22122328,0.361203998,-0.187135726,0.999876022,0.259044319,0.37522155,-0.163437217,0.999710321,0.243679315,0.37354961,0.004939852,0.999828279,0.221528322,0.413960546,-0.215378553,0.999715924,0.215370864,0.408753842,-0.167754248,0.999857187,0.273172587,0.502028584,-0.305304557,0.999906957,0.299934089,0.503360212,0.208782002,0.99989599,0.284042269,0.722045124,-0.399102926,0.991814375,0.315771163,0.71105355,0.227403313,0.078555256,0.230326101,0.940351427,-0.401375473,0.977043986,0.27586472,0.889014244,0.139475212,0.255239934,0.185095429,0.949949861,-0.458840907,0.95565182,0.247457743,0.892046094,0.133890346,0.273723096,0.180448681,0.939518332,-0.415546328,0.954124391,0.241314575,0.895703375,0.087490663,0.261562496,0.197179645,0.937150598,-0.385761708,0.926726997,0.253039062,0.899724603,0.115161553,0.232269302,0.424345434,0.841409624,-0.178389743,0.999454498,0.438901484,0.81309092,0.177755564,0.999031186,0.672051847,0.896921396,-0.167724684,0.941794932,0.672733426,0.86996454,0.209525257,0.202769071,0.887876689,0.864333034,-0.08508642,0.977919281,0.865587056,0.828036845,0.378806114,0.362334222,0.921731174,0.819458723,-0.075542554,0.974880099,0.887592316,0.826939404,0.392051905,0.544563949,0.936429381,0.912044585,-0.178538337,0.970962346,0.907629669,0.892176569,0.317326903,0.558039367
Anjaneyasana,0.429562241,0.3197788,-0.090259641,0.997702301,0.440903097,0.300672442,-0.111852862,0.998952806,0.443935871,0.300873727,-0.111802056,0.998450518,0.446719587,0.300949961,-0.11178907,0.998886645,0.437019676,0.300742567,-0.058838896,0.999135435,0.437428176,0.301130921,-0.058645211,0.998344064,0.437454462,0.30144608,-0.058603603,0.998372197,0.464900792,0.311049491,-0.173079133,0.998676956,0.451371431,0.311854541,0.082691409,0.996489465,0.440673679,0.340214282,-0.108761892,0.990718126,0.436031729,0.340540111,-0.037014633,0.990032196,0.504179299,0.387653023,-0.317029834,0.995142281,0.47573787,0.404322594,0.226842046,0.989501238,0.504065573,0.256423205,-0.546772599,0.988731563,0.48460564,0.286182612,0.285874456,0.029429104,0.531465113,0.137543097,-0.590073287,0.947470844,0.518565655,0.174009711,0.178274319,0.071256056,0.543471634,0.109593399,-0.647167265,0.913622856,0.534566343,0.145671979,0.162272483,0.096691228,0.544827104,0.108836144,-0.628658116,0.902285814,0.533717752,0.140480071,0.145990685,0.091741174,0.540489376,0.118682638,-0.586523414,0.885844469,0.528464496,0.151926517,0.161380291,0.100676186,0.538761616,0.709476888,-0.183468938,0.999751091,0.492305815,0.698615074,0.183018252,0.999693036,0.662515461,0.908516049,-0.3501966,0.99880892,0.346844196,0.658812225,0.311351538,0.960104287,0.85019666,0.853630483,-0.24418135,0.982391417,0.370032698,0.885464132,0.327720553,0.953602612,0.876100659,0.82028085,-0.230063349,0.958499134,0.392441452,0.918182433,0.324501514,0.96420002,0.883436501,0.93722707,-0.286747426,0.960540771,0.302716374,0.931043923,0.321793973,0.917727649
Bhujangasan,0.206986517,0.38294214,-0.145081535,0.999864101,0.221724004,0.363663077,-0.145380586,0.999855399,0.225701302,0.363301426,-0.145518154,0.99982512,0.229804829,0.363075584,-0.145661891,0.999839664,0.215921596,0.36375916,-0.102907673,0.999848783,0.215948418,0.363550872,-0.102914989,0.999823451,0.216094613,0.363255203,-0.102826178,0.999882579,0.252225161,0.376728266,-0.136491686,0.999732435,0.239313081,0.37533471,0.056522615,0.999832153,0.215586945,0.41581592,-0.142284691,0.999738574,0.210207671,0.411236852,-0.087223433,0.999862432,0.271687001,0.50171566,-0.289497703,0.999913454,0.295577168,0.503631711,0.242392391,0.999898314,0.282409787,0.720496893,-0.384196967,0.991727054,0.31251061,0.710082948,0.259042203,0.079801135,0.230898812,0.939470589,-0.386668861,0.97766149,0.276118696,0.889030576,0.159725457,0.252696931,0.189582899,0.9495579,-0.446335703,0.956671417,0.248171687,0.892320693,0.151753053,0.271806836,0.182051569,0.93927592,-0.404251963,0.955027878,0.241864398,0.896262586,0.101552144,0.259032041,0.19857569,0.936898589,-0.371618509,0.928274751,0.253637135,0.9000175,0.133000702,0.230808586,0.424013853,0.840057313,-0.178751513,0.999477983,0.438501894,0.81244427,0.17817229,0.999044955,0.672525227,0.896633029,-0.176888406,0.94139421,0.674075127,0.870226443,0.199901327,0.20046927,0.896903038,0.862390757,-0.099139221,0.977131188,0.868925273,0.828472376,0.36554575,0.353741169,0.935126185,0.815670192,-0.091163725,0.97354883,0.89497155,0.825235188,0.378736883,0.530054569,0.945176721,0.912270427,-0.208233714,0.969914556,0.9172948,0.893079519,0.294111669,0.547588885
Bhujangasan,0.199979156,0.388281256,-0.20595558,0.999903858,0.211982995,0.363837719,-0.205196455,0.999891937,0.216692045,0.362598479,-0.205316663,0.999871016,0.221185848,0.361595422,-0.205453962,0.999884248,0.204753086,0.365278065,-0.161399677,0.999885917,0.204262733,0.365264475,-0.161468461,0.999868214,0.203637913,0.365168154,-0.161428735,0.999908864,0.246230125,0.371528745,-0.19092229,0.999783814,0.228287458,0.372244477,0.01227979,0.999860168,0.212199613,0.420396537,-0.199217796,0.99982959,0.206264526,0.417637259,-0.142088577,0.999887884,0.280621707,0.497936517,-0.331155598,0.999876797,0.299614221,0.493864715,0.202752993,0.999891579,0.277932107,0.722571731,-0.408612907,0.989702642,0.311502218,0.708023608,0.211889461,0.091993779,0.231542677,0.941913486,-0.398869216,0.97419703,0.269067198,0.890217662,0.106350936,0.264254421,0.187544137,0.949902833,-0.459061682,0.953882337,0.242693871,0.890427768,0.092547491,0.289376229,0.181507215,0.938533604,-0.421642125,0.952869177,0.236739829,0.895031631,0.043033421,0.279244959,0.198904321,0.937135637,-0.385688514,0.927567422,0.247716948,0.900100827,0.079352461,0.252657443,0.434347451,0.835857689,-0.177287608,0.999583364,0.444868177,0.80572772,0.176642343,0.999288201,0.673674464,0.895495832,-0.16613394,0.932311356,0.676130116,0.866190493,0.215535253,0.255216241,0.892052352,0.853364289,-0.041850638,0.983358026,0.868779778,0.828956902,0.407184362,0.477795392,0.922558784,0.816200078,-0.027763879,0.982918203,0.904440761,0.80578649,0.423588097,0.673073888,0.947143078,0.909858704,-0.125099897,0.980160177,0.920905471,0.889459968,0.350119829,0.677051842
Dhanurasana,0.182026356,0.609752774,-0.02757955,0.999985635,0.192284465,0.585571468,-0.051713169,0.999983609,0.196092948,0.583956718,-0.051671941,0.999989986,0.199968249,0.582199872,-0.051906832,0.999980688,0.189861879,0.584919155,-0.009455177,0.999981105,0.192066997,0.58295238,-0.009471936,0.999988317,0.194657758,0.580550015,-0.009412734,0.999981701,0.226809055,0.578022718,-0.124822162,0.999990642,0.225257635,0.572667003,0.071795292,0.999988854,0.199247494,0.626030922,-0.053425945,0.999987006,0.195892692,0.625283599,0.002857166,0.999984562,0.30934456,0.647629142,-0.235340148,0.999997199,0.333691627,0.621144474,0.172605842,0.999940634,0.464193285,0.54711777,-0.21420905,0.994233191,0.4852736,0.52668184,0.180792123,0.30370906,0.615033031,0.456109554,-0.188968986,0.977091968,0.615134358,0.444930881,0.145982191,0.436103255,0.643742204,0.418676317,-0.224635527,0.952960432,0.646449327,0.404306948,0.150487229,0.391823292,0.65086025,0.440821707,-0.239316016,0.941344619,0.652965188,0.41925621,0.11200811,0.383390933,0.642018616,0.462722659,-0.190674663,0.934982121,0.642868578,0.445796639,0.126586467,0.371765792,0.581723928,0.774540246,-0.175105423,0.99998349,0.58933413,0.728363693,0.175515592,0.999972939,0.832328439,0.755460143,-0.264817208,0.999300599,0.824586749,0.721499324,0.125153795,0.299239397,0.66421169,0.492093384,0.079596803,0.962909281,0.660981894,0.486353606,0.489817947,0.166877612,0.638884425,0.498856455,0.122851908,0.952742279,0.633454978,0.487683505,0.530776381,0.218595505,0.638668716,0.350537628,0.242545575,0.917767882,0.639603019,0.349410623,0.635067582,0.232011601
