class,x1,y1,z1,v1,x2,y2,z2,v2,x3,y3,z3,v3,x4,y4,z4,v4,x5,y5,z5,v5,x6,y6,z6,v6,x7,y7,z7,v7,x8,y8,z8,v8,x9,y9,z9,v9,x10,y10,z10,v10,x11,y11,z11,v11,x12,y12,z12,v12,x13,y13,z13,v13,x14,y14,z14,v14,x15,y15,z15,v15,x16,y16,z16,v16,x17,y17,z17,v17,x18,y18,z18,v18,x19,y19,z19,v19,x20,y20,z20,v20,x21,y21,z21,v21,x22,y22,z22,v22,x23,y23,z23,v23,x24,y24,z24,v24,x25,y25,z25,v25,x26,y26,z26,v26,x27,y27,z27,v27,x28,y28,z28,v28,x29,y29,z29,v29,x30,y30,z30,v30,x31,y31,z31,v31,x32,y32,z32,v32,x33,y33,z33,v33
Vajrasana,0.569233835,0.365100384,0.008164369,0.999391913,0.578828573,0.344854057,-0.017519156,0.999433517,0.58228159,0.344277561,-0.017503029,0.999566019,0.586086512,0.343703806,-0.017503854,0.999332011,0.575398743,0.344946265,0.030203486,0.998960495,0.576657534,0.344340384,0.030233607,0.999300659,0.578202188,0.343625724,0.030123238,0.999507487,0.611862779,0.353377312,-0.092860796,0.999461532,0.602832675,0.351244628,0.116683342,0.999507606,0.580942273,0.389130801,-0.01964844,0.998610973,0.576889157,0.388042927,0.041169159,0.997583151,0.645119488,0.486321867,-0.254482806,0.999461234,0.627577305,0.489102483,0.232540533,0.997961819,0.630889773,0.676153719,-0.268189639,0.981191039,0.637918591,0.666232169,0.196298569,0.036201645,0.522905231,0.774126112,-0.114517711,0.901340723,0.582978427,0.76848042,0.009218625,0.056142624,0.499518931,0.799967647,-0.153941125,0.883077621,0.570528626,0.795875192,-0.012535113,0.076540813,0.491212279,0.792109489,-0.138654917,0.873888612,0.564428627,0.78844744,-0.0521672,0.074832164,0.497988611,0.783293545,-0.105225936,0.833070874,0.572858989,0.78270179,-0.015780231,0.080467284,0.654286027,0.797046661,-0.150129139,0.999954522,0.630090892,0.790303349,0.150080979,0.9999156,0.439906418,0.860620797,-0.167919248,0.995610595,0.441107988,0.854125082,0.278989404,0.196051791,0.647506833,0.875298738,0.057684194,0.948610485,0.637272,0.864297509,0.347990453,0.081020281,0.658877552,0.859399974,0.078228302,0.8298648,0.653055131,0.842691362,0.342392683,0.084948346,0.72598058,0.890834391,0.170197442,0.958908677,0.722159147,0.886220813,0.398558617,0.149331257
FoldPose,0.383855909,0.519377828,-0.216822192,0.971940994,0.367334574,0.517549813,-0.251144558,0.975398719,0.366262764,0.515371799,-0.251051247,0.973688483,0.365359724,0.513132095,-0.251005352,0.978773713,0.36695829,0.516354799,-0.208200961,0.965431511,0.365571737,0.513233185,-0.208333939,0.964612782,0.364173681,0.509739757,-0.208416179,0.972357929,0.363618106,0.48752147,-0.336647332,0.960033953,0.360573977,0.483371735,-0.140632361,0.941324472,0.394279659,0.502717853,-0.240856454,0.970699012,0.393605143,0.501897097,-0.183977112,0.955335259,0.411102951,0.439446598,-0.427735746,0.981385827,0.40500164,0.451524884,-0.00582038,0.993054271,0.417606175,0.60130173,-0.512592912,0.892400086,0.415971667,0.607108295,0.023665303,0.179677859,0.419116437,0.742348731,-0.45269984,0.707896948,0.41708678,0.748540282,-0.106106177,0.188400149,0.423777044,0.785666704,-0.507395804,0.64869833,0.417603076,0.790925443,-0.117023684,0.180677786,0.425839007,0.793543935,-0.483144343,0.647465706,0.420260012,0.797424614,-0.16710557,0.183209479,0.425971508,0.780753911,-0.443793386,0.592503726,0.423023075,0.786199212,-0.132606581,0.189010799,0.590781212,0.3729693,-0.148023963,0.96929276,0.569981098,0.38461265,0.14829427,0.973452449,0.553320885,0.60547632,-0.170327663,0.879153609,0.535142899,0.592171788,0.106706165,0.19307439,0.531265616,0.842512131,-0.115112111,0.942608535,0.52993238,0.835190952,0.18088904,0.287257701,0.544865489,0.886248469,-0.1151371,0.915255964,0.543271661,0.879240453,0.18550092,0.285646945,0.452385485,0.893689334,-0.245736316,0.943879187,0.467522204,0.890208602,0.097466856,0.351865917
Anjaneyasana,0.448362172,0.257301033,-0.025827426,0.998547852,0.45588237,0.234146923,-0.063480608,0.999074221,0.458426386,0.233263701,-0.063479349,0.998569489,0.461039633,0.232169047,-0.06347803,0.998905659,0.454245269,0.234069556,-0.003561025,0.998950958,0.45572263,0.233381167,-0.003524582,0.997846663,0.457437277,0.232397512,-0.003637014,0.998094022,0.483082443,0.232108742,-0.156920657,0.998494983,0.478242487,0.232577473,0.11801213,0.997022092,0.459102452,0.273776978,-0.055183422,0.994395137,0.456476778,0.273876131,0.023976251,0.992723167,0.522441149,0.316905081,-0.327507406,0.996926129,0.504366815,0.31890291,0.283844769,0.997310042,0.477021784,0.201794297,-0.556145251,0.989095807,0.474566638,0.217090383,0.385781497,0.109086536,0.463766158,0.08826261,-0.551893175,0.957067788,0.463544995,0.113210708,0.299097359,0.306811661,0.468845129,0.054221135,-0.604662001,0.92725879,0.469274372,0.080654345,0.295563877,0.353713065,0.474683821,0.055295225,-0.583614945,0.919117212,0.472722679,0.071263857,0.266074389,0.353065819,0.473327935,0.065621361,-0.543835819,0.90877676,0.470749676,0.082443945,0.277974784,0.391123891,0.538022637,0.642765284,-0.196139902,0.999783337,0.502663195,0.629488111,0.195916072,0.999888778,0.549164295,0.898989975,-0.307664484,0.990417182,0.355867803,0.640011609,0.317474067,0.897060931,0.728760839,0.87528038,-0.184653983,0.901815116,0.299188435,0.865830064,0.380191147,0.883435726,0.752335906,0.847649276,-0.169065058,0.927194476,0.311764657,0.915339053,0.382902652,0.938101351,0.785539985,0.912919283,-0.193585187,0.824596465,0.218272135,0.896024168,0.376200527,0.795764029
Bhadrasana,0.514970362,0.535252869,-0.56506592,0.999818265,0.522111595,0.510470271,-0.552354991,0.999927223,0.527389586,0.508928537,-0.552374363,0.999869108,0.532508194,0.507259667,-0.55252409,0.999866545,0.506332159,0.510346293,-0.555128574,0.99996984,0.500027001,0.508869529,-0.555291235,0.999957919,0.493626446,0.507346094,-0.555347085,0.99996227,0.53793776,0.504086077,-0.410476148,0.999716938,0.479894698,0.506222069,-0.421124876,0.999967158,0.522246003,0.550972104,-0.506448746,0.999981999,0.502842605,0.551259756,-0.509301782,0.999994338,0.579545498,0.597464621,-0.321944982,0.998061836,0.433013827,0.605555117,-0.343360603,0.999863327,0.596327186,0.751835227,-0.374724329,0.931119919,0.415133536,0.743678033,-0.437073767,0.961125731,0.547571242,0.842489541,-0.578870595,0.753545821,0.466790438,0.834070742,-0.656354427,0.906688511,0.533983827,0.871419132,-0.64111048,0.745613635,0.477008671,0.868210137,-0.717337966,0.901353657,0.52100867,0.849988043,-0.665349364,0.756716609,0.488964796,0.843334794,-0.738106847,0.899202943,0.523725569,0.837958634,-0.592733741,0.722778201,0.487834275,0.83278662,-0.66744411,0.872496665,0.554155886,0.812060773,0.008543672,0.997183919,0.467125833,0.814516425,-0.008998262,0.99899143,0.69781518,0.724073112,-0.166297913,0.952944696,0.315770805,0.719989717,-0.163592786,0.946135402,0.546014547,0.852816343,-0.120074131,0.742281854,0.468867719,0.863445938,-0.112774149,0.799846828,0.526138127,0.8631953,-0.109580398,0.635130763,0.488655806,0.87216121,-0.102339566,0.72543931,0.51251018,0.849080682,-0.194540486,0.676258564,0.505837739,0.888348699,-0.190876931,0.727520287
Anjaneyasana,0.451948583,0.256529808,-0.02445066,0.998813033,0.458618641,0.232272387,-0.063521624,0.999255121,0.460910231,0.231294379,-0.06350629,0.998835325,0.46342808,0.230091706,-0.063500926,0.999115467,0.457434177,0.232500732,-0.002759992,0.999168158,0.458923906,0.231938675,-0.002709868,0.998268962,0.460682154,0.231065005,-0.002809668,0.998485982,0.485721409,0.230070651,-0.159222141,0.998809576,0.481089741,0.231277809,0.119802669,0.997765303,0.462707907,0.271826804,-0.053998113,0.995430589,0.460576862,0.272274584,0.0262622,0.994247675,0.526275158,0.313584894,-0.330685318,0.997532129,0.510069847,0.315604508,0.288978249,0.997659445,0.480566561,0.197783932,-0.557339847,0.989122033,0.477606714,0.215716794,0.408876508,0.104468323,0.46749267,0.082107194,-0.531374574,0.957733631,0.468781769,0.111072883,0.339641154,0.274104118,0.473989189,0.051067285,-0.581630588,0.930504978,0.475470632,0.083375894,0.33871758,0.322333068,0.480297893,0.049918491,-0.561624527,0.922657132,0.478262007,0.072208881,0.309342474,0.321898401,0.478349835,0.060386792,-0.52323544,0.910033822,0.475961059,0.082184166,0.318978101,0.357728124,0.538297057,0.642101824,-0.200373366,0.999798298,0.505619347,0.629166961,0.20015268,0.999895573,0.551295102,0.899998963,-0.314052045,0.989180803,0.356637388,0.635497391,0.308310658,0.902638316,0.730269909,0.874329567,-0.193933219,0.889924109,0.300237477,0.86606282,0.367477238,0.881889701,0.754050136,0.846036255,-0.17832385,0.919415474,0.313376427,0.91601938,0.37018007,0.938121915,0.782368004,0.909552395,-0.204374865,0.815534055,0.218709737,0.895577788,0.361232787,0.795318186
Anjaneyasana,0.447056115,0.256583482,-0.011390897,0.998716354,0.454221547,0.233827546,-0.047249854,0.999186218,0.45699048,0.232932553,-0.047245309,0.99874258,0.459675848,0.231819063,-0.047273956,0.999046624,0.452675492,0.233769357,0.010681907,0.999075711,0.454265833,0.23308444,0.010703387,0.99810946,0.456081927,0.232103661,0.01061035,0.998341024,0.481419623,0.231675461,-0.139493957,0.998695195,0.477008253,0.23218593,0.124370299,0.997453332,0.458315462,0.272928536,-0.041334692,0.994970024,0.455787599,0.273049176,0.034852464,0.993542433,0.521355927,0.316026181,-0.304379404,0.997104526,0.502338767,0.318702102,0.28115049,0.99739778,0.475281477,0.200206906,-0.465662718,0.989860177,0.473011345,0.216897085,0.373025805,0.11315354,0.46305427,0.085906029,-0.368581563,0.958848417,0.462436974,0.109752089,0.275501907,0.308862686,0.468504488,0.052734993,-0.40815264,0.929036021,0.46912685,0.075209379,0.268228471,0.35318014,0.47437644,0.054295648,-0.390202075,0.920978725,0.472571939,0.070695303,0.242188543,0.35250181,0.472909987,0.064302713,-0.359632283,0.911414206,0.470288604,0.081657141,0.254668295,0.391276717,0.537704825,0.643232882,-0.191081136,0.999780953,0.50218451,0.629692495,0.190855414,0.999888659,0.548481524,0.899678886,-0.287874281,0.990995646,0.355479836,0.639312685,0.299074113,0.902287245,0.727810621,0.875153482,-0.142123178,0.90206933,0.299391657,0.865949571,0.354659259,0.889362752,0.751306653,0.846122921,-0.124620758,0.925342917,0.312030822,0.915449023,0.357084423,0.93926096,0.779037833,0.909919322,-0.139467508,0.823720336,0.21730122,0.895909548,0.352472544,0.803919256
Bhadrasana,0.515477836,0.538858175,-0.513158321,0.999530971,0.522445083,0.514534712,-0.50192368,0.999815166,0.52760011,0.513195693,-0.501954615,0.999646783,0.532729268,0.511607945,-0.502091289,0.999699652,0.507089734,0.514158428,-0.505562246,0.999919951,0.500714302,0.512502074,-0.505710959,0.999881268,0.494630992,0.510747492,-0.50576663,0.999907613,0.537536442,0.507549107,-0.36361295,0.999189138,0.480216324,0.507700205,-0.378809124,0.999887526,0.522106767,0.553854585,-0.455469787,0.99993372,0.504603505,0.554342389,-0.459622622,0.999979377,0.577456832,0.592863202,-0.277001828,0.997234941,0.432932913,0.603765488,-0.30927074,0.999812722,0.593524575,0.739860177,-0.33374995,0.853658795,0.416943729,0.732304037,-0.395181,0.93803978,0.548819959,0.838240623,-0.532350421,0.639151394,0.465008587,0.82626158,-0.596701384,0.857907295,0.531127572,0.870723069,-0.592014909,0.642885268,0.477359146,0.860944629,-0.65407294,0.855325282,0.520772755,0.84915936,-0.615544915,0.653106153,0.48859936,0.840977609,-0.675455332,0.85248518,0.523876131,0.837159753,-0.545980811,0.615128338,0.486991972,0.829902112,-0.607343078,0.820415378,0.555180192,0.815373063,0.011325134,0.997457445,0.466805696,0.817996204,-0.011789826,0.998953581,0.686314702,0.706706941,-0.147102624,0.951546371,0.325276792,0.696085572,-0.176568672,0.952257991,0.541159868,0.84714061,-0.112186931,0.822746396,0.471837282,0.869944692,-0.127973527,0.867654026,0.521208763,0.866482437,-0.102925941,0.705314398,0.487109661,0.879954994,-0.118393935,0.802482367,0.512441337,0.848009348,-0.186263338,0.755874991,0.502396286,0.90323174,-0.204018518,0.799640059
Bhujangasan,0.167300224,0.507782698,0.008367286,0.999866188,0.172262788,0.483701497,-0.013787389,0.999895751,0.174465761,0.481924832,-0.013828048,0.999889433,0.176837638,0.479959339,-0.013855748,0.999901116,0.171109319,0.4837237,0.030581033,0.999823093,0.172508791,0.481851876,0.030486599,0.999822974,0.174110517,0.479611874,0.030459676,0.999891698,0.198601127,0.476760387,-0.091222025,0.999784768,0.195453152,0.474751681,0.112474382,0.999873281,0.183187455,0.521408796,-0.017252544,0.999793589,0.181445822,0.521330059,0.040640187,0.999802232,0.24858661,0.569298506,-0.213032573,0.999915779,0.269010097,0.561461389,0.222139835,0.999900162,0.238379002,0.736792445,-0.25802967,0.969666839,0.275891095,0.726875424,0.23702541,0.147768721,0.209245726,0.90630424,-0.236043185,0.941277802,0.256267816,0.870884836,0.140706107,0.376830757,0.183147579,0.919104993,-0.276175976,0.905179501,0.236048058,0.879945159,0.126092792,0.39000389,0.176217705,0.917237401,-0.258034497,0.897510707,0.236132815,0.88555634,0.083609767,0.383345544,0.188215673,0.915538728,-0.229166985,0.861303806,0.243975922,0.887006819,0.117215991,0.359868139,0.380971014,0.839891076,-0.149766937,0.998722494,0.378412664,0.819013596,0.149273813,0.998480916,0.594365239,0.876086116,-0.147340313,0.962708771,0.582532883,0.859585106,0.142030209,0.424025446,0.803070843,0.844637334,-0.097891606,0.98720938,0.781882644,0.838399827,0.259833753,0.593604028,0.824137986,0.810661554,-0.092595369,0.978964925,0.808096588,0.807831824,0.270531267,0.701357305,0.872231364,0.914908946,-0.194261298,0.98356384,0.846275032,0.903033257,0.202009171,0.765695035
Vajrasana,0.582850754,0.368182749,-0.11094024,0.999802411,0.591698527,0.345600605,-0.136350036,0.999750376,0.595343709,0.345138848,-0.136309013,0.99979347,0.599340022,0.344782382,-0.136267573,0.999644995,0.586867332,0.344833255,-0.090983346,0.999644876,0.587055385,0.344051808,-0.090939298,0.999726236,0.587303281,0.343264133,-0.090987474,0.999747574,0.623498082,0.355101377,-0.196346819,0.999587119,0.607733488,0.350675881,0.00430354,0.999668121,0.595037103,0.39432463,-0.13138546,0.998629928,0.590447068,0.391695559,-0.073062658,0.997889876,0.636276841,0.484718055,-0.340645611,0.999087751,0.639116287,0.482219964,0.149208516,0.998138428,0.559021831,0.66360569,-0.371634185,0.986309052,0.618736446,0.662988424,0.122189201,0.02266914,0.463035911,0.783443093,-0.240381747,0.909139574,0.55279243,0.787977993,-0.024296932,0.02573604,0.436499268,0.81398952,-0.293091327,0.876349926,0.540674448,0.815557241,-0.031233096,0.033314813,0.43133682,0.810180843,-0.269636214,0.872008801,0.533455491,0.820215225,-0.068213537,0.032258134,0.438240707,0.803588152,-0.230569601,0.820650816,0.539214492,0.811573207,-0.046169195,0.033547204,0.646586597,0.799696147,-0.146827132,0.999807179,0.6242643,0.774597526,0.146844476,0.999696374,0.440723479,0.858404458,-0.187413365,0.99395442,0.440753073,0.815845191,0.290910155,0.26497522,0.643122196,0.873060167,0.034426197,0.928075314,0.631834924,0.851087034,0.349651068,0.079882748,0.654817224,0.854874611,0.055487745,0.780991197,0.649807692,0.82877177,0.342458636,0.078087538,0.723745942,0.88803786,0.160180226,0.941158473,0.714857221,0.899844706,0.410031796,0.13499333
Vajrasana,0.567054272,0.36673978,-0.120159686,0.999620378,0.574924111,0.344454795,-0.147004277,0.999562085,0.57772243,0.343736917,-0.146948084,0.999671578,0.580803633,0.343189865,-0.146894932,0.999473453,0.573169529,0.344164908,-0.100423135,0.999179542,0.574785948,0.343366116,-0.100387827,0.999453723,0.576760411,0.342654347,-0.100434877,0.999549925,0.606446564,0.353081882,-0.226460934,0.999395192,0.601766348,0.35055095,-0.014993727,0.999429643,0.57999146,0.392574489,-0.145533249,0.998561561,0.577099562,0.391600877,-0.086298212,0.997668445,0.636334777,0.485162765,-0.373312891,0.999456525,0.634552956,0.483127087,0.114999533,0.998421133,0.56380558,0.664599061,-0.388829887,0.987752855,0.614927411,0.661323309,0.091074251,0.023818174,0.463770062,0.780957878,-0.247683764,0.912298918,0.547882199,0.785545528,-0.072286151,0.02709353,0.438159406,0.811721265,-0.2960563,0.886080027,0.532338202,0.809311748,-0.08406844,0.035974059,0.432711452,0.807677686,-0.276810437,0.878999591,0.525775135,0.814247549,-0.134171367,0.034701716,0.439247429,0.801144838,-0.238738254,0.825058162,0.533226132,0.806666672,-0.099439219,0.036116082,0.648455262,0.798621118,-0.149457276,0.999890804,0.624972582,0.773289084,0.149469241,0.99980706,0.440533817,0.857728541,-0.183850139,0.995869219,0.440458685,0.816385448,0.299357355,0.253095597,0.637403548,0.874141335,0.04661043,0.94908601,0.632774055,0.849272966,0.367491454,0.086433865,0.648587227,0.854959905,0.06881547,0.819066048,0.64867717,0.830644369,0.361419141,0.082723081,0.72195518,0.888078749,0.170837,0.957142711,0.716587842,0.895745635,0.431235969,0.148721516
